name	prize	type
P06241	1	terminal
Q9ULZ2	1	terminal
P61160	1	terminal
Q96B97	1	terminal
P32927	1	terminal
O15524	1	terminal
O43524	1	terminal
Q7Z698	1	terminal
P27986	1	terminal
P12931	1	terminal
Q92934	1	terminal
P28482	1	terminal
P07332	1	terminal
O00220	1	terminal
P42768	1	terminal
P62993	1	terminal
P46109	1	terminal
Q92835	1	terminal
P49840	1	terminal
Q06187	1	terminal
P42680	1	terminal
P05771	1	terminal
P20936	1	terminal
O75030	1	terminal
O00459	1	terminal
P46108	1	terminal
O43516	1	terminal
O75970	1	terminal
O60674	1	terminal
Q13588	1	terminal
Q13191	1	terminal
Q13322	1	terminal
Q13257	1	terminal
P52333	1	terminal
O14544	1	terminal
Q92729	1	terminal
P21583	1	terminal
O14492	1	terminal
Q8WXH5	1	terminal
P19419	1	terminal
P42229	1	terminal
Q9UQQ2	1	terminal
P07948	1	terminal
P42336	1	terminal
P16885	1	terminal
P04049	1	terminal
Q15418	1	terminal
P51692	1	terminal
P31749	1	terminal
Q07889	1	terminal
Q99704	1	terminal
P08631	1	terminal
Q06124	1	terminal
O75159	1	terminal
P29353	1	terminal
Q7Z699	1	terminal
P19235	1	terminal
P10721	1	terminal
Q00610	1	terminal
P15498	1	terminal
P09769	1	terminal
