name	prize	type
Q96RT1	1	terminal
Q92831	1	terminal
Q05397	1	terminal
Q13573	1	terminal
P17535	1	terminal
Q13596	1	terminal
P01137	1	terminal
P56945	1	terminal
O15530	1	terminal
P46108	1	terminal
Q99966	1	terminal
P41235	1	terminal
P52564	1	terminal
Q01082	1	terminal
Q13557	1	terminal
Q92905	1	terminal
O15350	1	terminal
Q8TAK6	1	terminal
Q8IU81	1	terminal
P37275	1	terminal
P05106	1	terminal
P46734	1	terminal
P01100	1	terminal
O15105	1	terminal
Q15583	1	terminal
Q9Y2T1	1	terminal
Q92793	1	terminal
O15169	1	terminal
P32121	1	terminal
Q8N1F8	1	terminal
Q96JC1	1	terminal
Q15796	1	terminal
P24941	1	terminal
Q13555	1	terminal
Q12778	1	terminal
O60749	1	terminal
P25208	1	terminal
P49711	1	terminal
Q00534	1	terminal
P28340	1	terminal
P49023	1	terminal
P15336	1	terminal
O95219	1	terminal
Q13554	1	terminal
Q14974	1	terminal
Q9H160	1	terminal
Q15750	1	terminal
P63208	1	terminal
P42336	1	terminal
P38398	1	terminal
Q9UQM7	1	terminal
Q8NG27	1	terminal
P29353	1	terminal
Q15788	1	terminal
P30304	1	terminal
Q9Y4K3	1	terminal
Q15831	1	terminal
P36873	1	terminal
Q9UJX5	1	terminal
P98082	1	terminal
Q9H0M0	1	terminal
O00459	1	terminal
Q9Y3F4	1	terminal
P11802	1	terminal
P18847	1	terminal
P24385	1	terminal
P28749	1	terminal
Q13952	1	terminal
Q7Z3T8	1	terminal
Q12931	1	terminal
Q13616	1	terminal
P49790	1	terminal
P37173	1	terminal
P10600	1	terminal
Q96PU5	1	terminal
P61077	1	terminal
Q13950	1	terminal
O75582	1	terminal
Q15329	1	terminal
P06400	1	terminal
P11473	1	terminal
P45983	1	terminal
Q8N6K7	1	terminal
P17844	1	terminal
P62942	1	terminal
P12931	1	terminal
Q13347	1	terminal
P61812	1	terminal
O14908	1	terminal
O75593	1	terminal
O60315	1	terminal
Q13464	1	terminal
Q9NP97	1	terminal
P04637	1	terminal
P48436	1	terminal
P34741	1	terminal
P63165	1	terminal
P05412	1	terminal
O95405	1	terminal
P36897	1	terminal
Q9NPI6	1	terminal
Q13547	1	terminal
P61586	1	terminal
Q9C0E2	1	terminal
Q16254	1	terminal
Q9NPB6	1	terminal
Q9UM11	1	terminal
P98177	1	terminal
O43541	1	terminal
Q02078	1	terminal
Q9H1A4	1	terminal
P30260	1	terminal
P53539	1	terminal
Q03167	1	terminal
Q03135	1	terminal
P05556	1	terminal
Q8TF09	1	terminal
Q8TAD8	1	terminal
P84022	1	terminal
P11142	1	terminal
P12755	1	terminal
Q9UJU2	1	terminal
P78368	1	terminal
Q9HAU4	1	terminal
Q01844	1	terminal
Q9UJX6	1	terminal
Q15118	1	terminal
Q09472	1	terminal
Q08999	1	terminal
Q14188	1	terminal
P35658	1	terminal
P17813	1	terminal
P63279	1	terminal
Q9UM13	1	terminal
-	1	terminal
Q9Y5K5	1	terminal
Q9UJX3	1	terminal
Q9UJX4	1	terminal
Q9UPN9	1	terminal
Q96J02	1	terminal
Q13042	1	terminal
P12757	1	terminal
P03372	1	terminal
TGFBR	1	terminal
O43524	1	terminal
O75925	1	terminal
P15884	1	terminal
P37023	1	terminal
Q13485	1	terminal
Q8TEW0	1	terminal
Q06413	1	terminal
P63010	1	terminal
O75807	1	terminal
P24864	1	terminal
Q8N6I1	1	terminal
Q96RN5	1	terminal
Q07889	1	terminal
P29590	1	terminal
O75928	1	terminal
P51668	1	terminal
P30153	1	terminal
P06493	1	terminal
P55316	1	terminal
Q9Y297	1	terminal
P62837	1	terminal
P46937	1	terminal
Q13761	1	terminal
P38936	1	terminal
