name	prize	type
P29992	1	terminal
P27986	1	terminal
P17612	1	terminal
O60674	1	terminal
P16473	1	terminal
O95467	1	terminal
P62753	1	terminal
P06400	1	terminal
Q03113	1	terminal
P11142	1	terminal
Q12967	1	terminal
P01112	1	terminal
P29353	1	terminal
Q05397	1	terminal
O00459	1	terminal
P01215	1	terminal
P27797	1	terminal
P50148	1	terminal
O14543	1	terminal
P23458	1	terminal
P08069	1	terminal
P09471	1	terminal
P53985	1	terminal
P15336	1	terminal
Q9Y2W7	1	terminal
P23443	1	terminal
P05023	1	terminal
O15524	1	terminal
P24864	1	terminal
Q14344	1	terminal
Q9Y4H2	1	terminal
Q14160	1	terminal
Q15653	1	terminal
Q16539	1	terminal
P42336	1	terminal
P24941	1	terminal
P08754	1	terminal
P27824	1	terminal
P04049	1	terminal
P11802	1	terminal
