name	prize	type
Q09472	1	terminal
P12956	1	terminal
Q969G3	1	terminal
P03372	1	terminal
Q13950	1	terminal
P40763	1	terminal
P18074	1	terminal
P60484	1	terminal
P27797	1	terminal
O95238	1	terminal
O43504	1	terminal
P13056	1	terminal
Q12796	1	terminal
Q9Y618	1	terminal
P49841	1	terminal
Q9Y4B4	1	terminal
P51946	1	terminal
Q9UBS8	1	terminal
P05412	1	terminal
Q15637	1	terminal
P63279	1	terminal
Q12778	1	terminal
Q03135	1	terminal
P29466	1	terminal
Q14192	1	terminal
P49116	1	terminal
P30304	1	terminal
P10606	1	terminal
Q96EB6	1	terminal
P78317	1	terminal
P51948	1	terminal
Q8NF64	1	terminal
Q13888	1	terminal
Q9Y6X2	1	terminal
Q9ULJ6	1	terminal
P55317	1	terminal
Q99873	1	terminal
P41161	1	terminal
Q05066	1	terminal
Q05086	1	terminal
O96028	1	terminal
Q92993	1	terminal
P49715	1	terminal
Q9UNE7	1	terminal
O75376	1	terminal
Q9UER7	1	terminal
P38398	1	terminal
Q01196	1	terminal
O60341	1	terminal
P09874	1	terminal
O95425	1	terminal
Q9Y6Q9	1	terminal
Q99497	1	terminal
P11182	1	terminal
Q96ST3	1	terminal
P24864	1	terminal
Q92922	1	terminal
Q92831	1	terminal
O43294	1	terminal
O75925	1	terminal
Q13772	1	terminal
O43293	1	terminal
P11021	1	terminal
Q9H3R0	1	terminal
P50613	1	terminal
P35869	1	terminal
P16220	1	terminal
P48552	1	terminal
P04792	1	terminal
Q16543	1	terminal
Q9Y4C1	1	terminal
P00533	1	terminal
Q9Y675	1	terminal
Q13547	1	terminal
Q9UKG1	1	terminal
Q9H422	1	terminal
Q15788	1	terminal
O00459	1	terminal
P34932	1	terminal
P30305	1	terminal
Q14790	1	terminal
P13010	1	terminal
Q96PM5	1	terminal
P42574	1	terminal
P21333	1	terminal
P22301	1	terminal
Q02790	1	terminal
P06493	1	terminal
Q9HBE1	1	terminal
P60763	1	terminal
P63244	1	terminal
P35222	1	terminal
Q8WUI4	1	terminal
P10275	1	terminal
Q9UQ80	1	terminal
P04406	1	terminal
Q8IZL8	1	terminal
P07900	1	terminal
O95251	1	terminal
Q9UBK9	1	terminal
P14859	1	terminal
P32780	1	terminal
P08047	1	terminal
P27986	1	terminal
P13984	1	terminal
TZF	1	terminal
P31749	1	terminal
P12235	1	terminal
P15336	1	terminal
P27540	1	terminal
Q8IXH7	1	terminal
P43364	1	terminal
P50750	1	terminal
Q13889	1	terminal
P11142	1	terminal
P62136	1	terminal
Q08117	1	terminal
Q9UM63	1	terminal
Q9NQU5	1	terminal
Q99933	1	terminal
P62826	1	terminal
Q00535	1	terminal
P06396	1	terminal
Q96L73	1	terminal
Q05397	1	terminal
Q06830	1	terminal
P06400	1	terminal
Q92793	1	terminal
P08107	1	terminal
P30281	1	terminal
P12931	1	terminal
O60477	1	terminal
