name	prize	type
P45983	1	terminal
Q9UKW4	1	terminal
O43318	1	terminal
O75015	1	terminal
P36543	1	terminal
Q13191	1	terminal
Q01196	1	terminal
Q15750	1	terminal
P41279	1	terminal
O00241	1	terminal
Q13114	1	terminal
O43914	1	terminal
P07948	1	terminal
Q14192	1	terminal
P07384	1	terminal
Q9UQC2	1	terminal
Q02750	1	terminal
O14920	1	terminal
Q9UKJ1	1	terminal
Q13077	1	terminal
Q9NZC2	1	terminal
P45984	1	terminal
P12931	1	terminal
O00459	1	terminal
O14733	1	terminal
P07900	1	terminal
O95644	1	terminal
P16885	1	terminal
P27986	1	terminal
Q9NYJ8	1	terminal
P29350	1	terminal
P51532	1	terminal
P52564	1	terminal
Q13501	1	terminal
P11142	1	terminal
P05412	1	terminal
Q9Y6Q6	1	terminal
P00519	1	terminal
O75030	1	terminal
Q9Y6K9	1	terminal
P22681	1	terminal
O00300	1	terminal
Q12933	1	terminal
Q9Y4K3	1	terminal
O00487	1	terminal
P08637	1	terminal
