name	prize	type
P41240	1	terminal
P19174	1	terminal
Q92835	1	terminal
O14492	1	terminal
Q13469	1	terminal
Q13094	1	terminal
O15530	1	terminal
O00459	1	terminal
P51451	1	terminal
Q16539	1	terminal
P46108	1	terminal
P30281	1	terminal
P30279	1	terminal
Q05397	1	terminal
Q9ULZ2	1	terminal
Q15139	1	terminal
Q15418	1	terminal
P56279	1	terminal
P41182	1	terminal
Q99704	1	terminal
P24864	1	terminal
Q13191	1	terminal
P14317	1	terminal
P52735	1	terminal
P28482	1	terminal
O43521	1	terminal
P27986	1	terminal
Q8TBX8	1	terminal
P22681	1	terminal
P27361	1	terminal
Q9GZY6	1	terminal
P20936	1	terminal
Q9BXL7	1	terminal
O14986	1	terminal
P49137	1	terminal
Q7L591	1	terminal
P43405	1	terminal
O43318	1	terminal
P20248	1	terminal
P16885	1	terminal
P42680	1	terminal
Q99952	1	terminal
Q14643	1	terminal
P06241	1	terminal
P06127	1	terminal
P50613	1	terminal
Q8WV28	1	terminal
P10415	1	terminal
Q00534	1	terminal
P15498	1	terminal
Q99755	1	terminal
O95999	1	terminal
P08631	1	terminal
P19419	1	terminal
Q9UJU6	1	terminal
P23443	1	terminal
Q13905	1	terminal
Q6ZUJ8	1	terminal
O15111	1	terminal
Q92918	1	terminal
P15056	1	terminal
P07948	1	terminal
P21854	1	terminal
Q12778	1	terminal
P11802	1	terminal
P61978	1	terminal
P56945	1	terminal
P53539	1	terminal
P06239	1	terminal
P06400	1	terminal
Q96MX0	1	terminal
P16220	1	terminal
Q9H6Q3	1	terminal
Q14289	1	terminal
Q8IV61	1	terminal
O14920	1	terminal
Q9UN19	1	terminal
P55210	1	terminal
P45983	1	terminal
P15391	1	terminal
Q06187	1	terminal
P17275	1	terminal
Q07889	1	terminal
P62070	1	terminal
P20023	1	terminal
P78347	1	terminal
O00329	1	terminal
P16333	1	terminal
P25963	1	terminal
P50570	1	terminal
Q06124	1	terminal
P05412	1	terminal
P01871	1	terminal
P49840	1	terminal
P40259	1	terminal
Q08881	1	terminal
Q08209	1	terminal
P29350	1	terminal
Q9UQC2	1	terminal
P11912	1	terminal
Q14511	1	terminal
P31994	1	terminal
P15336	1	terminal
Q14571	1	terminal
P31152	1	terminal
Q04759	1	terminal
P23634	1	terminal
P78314	1	terminal
P46109	1	terminal
Q7Z6A9	1	terminal
