name	prize	type
P49023	1	terminal
Q9H400	1	terminal
P12931	1	terminal
-	1	terminal
Q9Y2R2	1	terminal
P01100	1	terminal
Q06124	1	terminal
Q7LDG7	1	terminal
P16410	1	terminal
P26045	1	terminal
Q8IWV1	1	terminal
Q04759	1	terminal
Q99704	1	terminal
Q9Y6J0	1	terminal
Q14765	1	terminal
Q14161	1	terminal
O75144	1	terminal
P42229	1	terminal
P06127	1	terminal
P51692	1	terminal
Q13905	1	terminal
P43405	1	terminal
P27348	1	terminal
Q07890	1	terminal
O95644	1	terminal
P07766	1	terminal
P07948	1	terminal
Q14289	1	terminal
P04435	1	terminal
P00519	1	terminal
Q9Y6W5	1	terminal
Q9HD43	1	terminal
O14920	1	terminal
Q9Y3P8	1	terminal
Q96J02	1	terminal
Q9UDY8	1	terminal
P15941	1	terminal
P05412	1	terminal
P01730	1	terminal
P06729	1	terminal
O43516	1	terminal
Q8N5H7	1	terminal
P22681	1	terminal
Q96P31	1	terminal
O43353	1	terminal
Q9UI08	1	terminal
P33681	1	terminal
O75563	1	terminal
Q9UQC2	1	terminal
P46108	1	terminal
Q92835	1	terminal
P52566	1	terminal
Q14511	1	terminal
P06241	1	terminal
P19174	1	terminal
Q9UQQ2	1	terminal
Q02750	1	terminal
Q9H4E7	1	terminal
P50570	1	terminal
P42681	1	terminal
P16333	1	terminal
P27986	1	terminal
O75791	1	terminal
Q14643	1	terminal
P25963	1	terminal
Q05397	1	terminal
Q86Y01	1	terminal
O00459	1	terminal
P10747	1	terminal
Q6PIZ9	1	terminal
P42768	1	terminal
P28482	1	terminal
P42081	1	terminal
Q13191	1	terminal
Q16539	1	terminal
Q13094	1	terminal
P29350	1	terminal
P63104	1	terminal
Q07889	1	terminal
Q12959	1	terminal
Q9UEW8	1	terminal
P78314	1	terminal
Q15464	1	terminal
P19338	1	terminal
Q04206	1	terminal
P18146	1	terminal
P16220	1	terminal
P06239	1	terminal
Q08881	1	terminal
P15498	1	terminal
Q8WUI4	1	terminal
Q9H6Q3	1	terminal
Q9NSE2	1	terminal
Q07666	1	terminal
P31749	1	terminal
Q9NWQ8	1	terminal
P08575	1	terminal
P62993	1	terminal
P50552	1	terminal
P24666	1	terminal
Q14155	1	terminal
Q15052	1	terminal
P68366	1	terminal
Q15759	1	terminal
P17676	1	terminal
Q9Y6W8	1	terminal
O43561	1	terminal
P20936	1	terminal
Q8IZP0	1	terminal
Q12913	1	terminal
Q9BZL6	1	terminal
P15336	1	terminal
P29353	1	terminal
P01732	1	terminal
Q13588	1	terminal
P16298	1	terminal
Q9NP31	1	terminal
O95267	1	terminal
Q86WV1	1	terminal
Q92793	1	terminal
P52333	1	terminal
Q9Y5K6	1	terminal
Q13432	1	terminal
P35222	1	terminal
