name	prize	type
Q9H461	1	terminal
Q155Q3	1	terminal
P24385	1	terminal
O14904	1	terminal
P12830	1	terminal
Q7KZI7	1	terminal
P35222	1	terminal
Q9UD71	1	terminal
P32121	1	terminal
Q13467	1	terminal
Q14332	1	terminal
O14745	1	terminal
O75084	1	terminal
Q9NQB0	1	terminal
Q6FHJ7	1	terminal
O14905	1	terminal
O75197	1	terminal
P17612	1	terminal
P17252	1	terminal
P48730	1	terminal
P36544	1	terminal
Q96HF1	1	terminal
P49840	1	terminal
Q9UBE8	1	terminal
O94907	1	terminal
P98082	1	terminal
P31946	1	terminal
O75581	1	terminal
O15169	1	terminal
Q07954	1	terminal
P34925	1	terminal
O00570	1	terminal
Q9H1J7	1	terminal
Q92765	1	terminal
Q2MKA7	1	terminal
O14640	1	terminal
P51654	1	terminal
Q9UP38	1	terminal
O60353	1	terminal
P15923	1	terminal
P56545	1	terminal
Q9Y5W5	1	terminal
O14986	1	terminal
P05129	1	terminal
P49841	1	terminal
P09544	1	terminal
P41221	1	terminal
O43318	1	terminal
Q92837	1	terminal
P62136	1	terminal
Q15797	1	terminal
Q13233	1	terminal
Q92997	1	terminal
O96014	1	terminal
P25054	1	terminal
P67775	1	terminal
Q6UXX9	1	terminal
Q9NR80	1	terminal
P15884	1	terminal
O00144	1	terminal
Q9P2D1	1	terminal
P61586	1	terminal
O75474	1	terminal
Q9NPG1	1	terminal
P56705	1	terminal
P31749	1	terminal
Q01974	1	terminal
Q9Y6R4	1	terminal
Q9UJU2	1	terminal
P49407	1	terminal
Q02962	1	terminal
Q00534	1	terminal
O14641	1	terminal
Q96MU8	1	terminal
Q8N474	1	terminal
Q13469	1	terminal
P45983	1	terminal
P56706	1	terminal
Q9BTU6	1	terminal
P48729	1	terminal
Q9ULW2	1	terminal
Q9Y297	1	terminal
P56704	1	terminal
O00755	1	terminal
P05771	1	terminal
P49674	1	terminal
